date,region,category,units,unit_price
2026-04-23,emea,services,33,761.8
2026-04-23,amer,hardware,32,69.64
2026-04-23,amer,training,6,380.82
2026-04-24,amer,training,28,419.3
2026-04-24,amer,hardware,21,278.6
2026-04-24,amer,services,31,667.91
2026-04-24,emea,services,7,582.3
2026-04-25,apac,training,13,643.24
2026-04-25,amer,hardware,16,888.22
2026-04-25,emea,support,26,222.12
2026-04-25,emea,services,7,585.44
2026-04-25,amer,training,17,389.31
2026-04-26,amer,support,22,341.57
2026-04-26,emea,services,26,329.68
2026-04-26,amer,training,18,472.6
2026-04-26,emea,software,13,683.67
2026-04-26,emea,training,7,541.69
2026-04-27,apac,training,25,452.26
2026-04-27,amer,training,40,185.68
2026-04-27,apac,hardware,36,639.25
2026-04-27,emea,software,37,794.02
2026-04-27,amer,hardware,9,358.29
2026-04-28,emea,hardware,7,533.11
2026-04-28,apac,support,9,807.51
2026-04-28,apac,software,11,199.29
2026-04-28,amer,training,32,287.45
2026-04-28,apac,support,2,233.13
2026-04-28,emea,support,22,288.54
2026-04-01,emea,hardware,19,184.51
2026-04-01,emea,training,16,761.94
2026-04-01,apac,software,6,302.81
2026-04-01,apac,software,35,192.12
2026-04-01,amer,training,1,456.29
2026-04-02,emea,software,18,731.31
2026-04-02,emea,services,23,188.86
2026-04-02,emea,services,14,806.58
2026-04-02,amer,support,8,409.48
2026-04-03,emea,support,26,243.28
2026-04-03,apac,support,13,406.65
2026-04-03,emea,services,23,594.88
2026-04-03,emea,training,26,639.47
2026-04-04,emea,services,8,544.75
2026-04-04,emea,hardware,12,776.82
2026-04-04,apac,support,11,206.34
2026-04-04,emea,hardware,21,544.31
2026-04-04,emea,training,22,499.07
2026-04-04,emea,training,29,695.14
2026-04-05,emea,training,1,115.46
2026-04-05,emea,services,31,254.34
2026-04-05,amer,software,30,339.98
2026-04-05,apac,services,1,831.85
2026-04-05,apac,training,37,446.04
2026-04-06,emea,training,5,639.47
2026-04-06,emea,software,35,110.46
2026-04-06,emea,software,17,285.87
2026-04-06,apac,support,1,748.22
2026-04-06,apac,hardware,40,56.3
2026-04-07,emea,hardware,33,407.05
2026-04-07,amer,training,1,889.11
2026-04-07,amer,training,36,662.02
2026-04-07,emea,hardware,6,186.98
2026-04-07,emea,services,6,592.74
2026-04-08,emea,hardware,29,42.66
2026-04-08,amer,software,21,630.06
2026-04-09,apac,services,1,766.62
2026-04-09,amer,support,1,200.53
2026-04-09,amer,training,9,627.05
2026-04-09,apac,training,34,469.09
2026-04-09,amer,training,9,555.23
2026-04-09,apac,services,5,215.82
2026-04-10,amer,services,29,719.64
2026-04-10,emea,support,35,289.57
2026-04-10,apac,services,11,270.09
2026-04-11,emea,training,20,532.71
2026-04-11,apac,support,28,732.27
2026-04-12,amer,services,1,538.47
2026-04-12,apac,training,4,581.66
2026-05-13,amer,support,17,553.29
2026-05-13,apac,support,34,664.96
2026-05-13,amer,software,20,86.33
2026-05-13,amer,hardware,32,698.75
2026-05-13,apac,software,13,761.77
2026-05-14,amer,support,17,9.96
2026-05-14,emea,software,16,410.14
2026-05-14,amer,hardware,19,333.29
2026-05-15,amer,hardware,1,295.82
2026-05-15,apac,training,39,48.73
2026-05-15,amer,services,19,166.74
2026-05-16,amer,support,32,283.08
2026-05-16,amer,training,22,221.36
2026-05-16,emea,support,3,329.54
2026-05-16,amer,hardware,23,733.14
2026-05-16,emea,hardware,31,148.52
2026-05-17,emea,services,38,735.17
2026-05-17,apac,support,35,64.11
2026-05-18,emea,services,10,512.07
2026-05-18,amer,software,23,768.66
2026-05-18,apac,support,25,140.68
2026-05-18,apac,training,4,417.62
2026-05-18,apac,hardware,40,80.5
2026-05-18,apac,training,20,330.88
2026-05-19,emea,hardware,27,664.7
2026-05-19,apac,training,16,614.25
2026-05-20,emea,services,24,171.25
2026-05-20,amer,services,27,661.11
2026-05-20,emea,support,23,862.41
2026-05-20,emea,training,24,620.58
2026-05-20,apac,support,11,210.59
2026-05-21,emea,software,32,241.14
2026-05-21,emea,support,31,872.21
2026-05-22,amer,training,11,670.94
2026-05-22,apac,services,25,678.36
2026-05-22,apac,hardware,14,342.0
2026-05-22,emea,software,37,328.3
2026-05-22,apac,services,20,749.64
2026-05-22,amer,training,36,690.63
2026-05-23,amer,services,34,75.93
2026-05-23,apac,support,18,649.86
2026-05-23,emea,training,14,583.31
2026-05-24,amer,software,24,776.22
2026-05-24,apac,training,16,580.75
2026-05-24,emea,hardware,33,512.34
2026-05-25,amer,support,27,760.55
2026-05-25,emea,support,35,523.92
2026-05-26,apac,support,23,119.89
2026-05-26,amer,software,17,812.62
2026-05-26,emea,training,25,239.38
2026-05-26,emea,software,38,682.25
2026-05-27,emea,software,23,20.1
2026-05-27,amer,training,4,501.29
2026-05-27,apac,hardware,40,354.2
2026-05-27,apac,services,23,569.55
2026-05-27,amer,training,5,418.23
2026-05-28,emea,services,29,688.41
2026-05-28,emea,services,35,69.62
2026-05-28,emea,support,35,316.02
2026-05-01,amer,services,27,52.64
2026-05-01,emea,support,1,139.39
2026-05-01,amer,software,7,186.13
2026-05-02,amer,hardware,11,357.08
2026-05-02,amer,training,2,800.7
2026-05-02,apac,software,25,701.26
2026-05-03,emea,hardware,3,87.2
2026-05-03,emea,support,20,602.41
2026-05-03,emea,software,29,171.54
2026-05-03,amer,services,5,788.46
2026-05-03,amer,software,10,217.78
2026-05-04,apac,training,4,787.92
2026-05-04,emea,support,20,733.48
2026-05-04,apac,hardware,12,149.91
2026-05-04,amer,hardware,29,106.52
2026-05-04,emea,hardware,12,746.86
2026-05-05,apac,software,36,692.68
2026-05-05,emea,services,6,395.06
2026-05-05,amer,training,16,116.08
2026-05-05,amer,support,11,208.7
2026-05-05,amer,services,7,119.98
2026-05-05,apac,hardware,39,349.31
2026-05-06,amer,training,11,87.68
2026-05-06,apac,hardware,12,218.14
2026-05-06,amer,services,31,814.88
2026-05-07,apac,hardware,7,714.44
2026-05-07,apac,support,37,64.01
2026-05-07,apac,services,3,69.5
2026-05-07,apac,hardware,2,768.4
2026-05-07,amer,support,31,565.41
2026-05-08,amer,training,4,231.2
2026-05-08,emea,support,23,189.27
2026-05-08,amer,hardware,21,698.32
2026-05-08,apac,support,25,146.25
2026-05-08,apac,hardware,38,197.18
2026-05-09,emea,training,20,856.24
2026-05-09,amer,support,36,672.34
2026-05-09,amer,software,13,204.17
2026-05-09,amer,support,26,417.74
2026-05-09,amer,services,10,144.32
2026-05-09,amer,support,1,221.86
2026-05-10,apac,services,27,530.54
2026-05-10,apac,training,33,504.48
2026-05-10,apac,support,25,705.29
2026-05-10,apac,hardware,39,552.63
2026-05-10,apac,hardware,6,816.49
2026-05-10,apac,support,28,238.25
2026-05-11,apac,hardware,15,409.24
2026-05-11,amer,support,31,152.46
2026-05-11,emea,support,25,639.57
2026-05-11,emea,training,20,27.75
2026-05-11,amer,services,19,74.38
2026-05-12,emea,hardware,3,430.68
2026-05-12,amer,training,40,717.18
2026-05-12,apac,hardware,10,674.18
2026-05-12,apac,training,29,101.9
2026-05-12,emea,software,24,108.89
2026-05-12,amer,services,23,560.36
2026-05-13,apac,hardware,38,255.31
2026-05-13,apac,hardware,14,342.96
2026-05-13,amer,hardware,17,838.98
2026-05-13,emea,hardware,16,729.57
2026-05-14,apac,hardware,31,563.91
2026-05-14,emea,training,2,275.73
2026-05-14,amer,software,26,227.5
2026-05-14,apac,support,7,69.52
2026-05-14,emea,software,2,227.05
2026-05-14,apac,services,29,704.5
2026-05-15,apac,software,5,309.42
2026-05-15,apac,software,25,162.69
2026-06-16,emea,services,24,500.19
2026-06-16,emea,software,29,84.04
2026-06-16,emea,services,15,91.92
2026-06-16,emea,training,36,277.65
2026-06-17,amer,services,33,96.86
2026-06-17,emea,software,7,732.4
2026-06-17,amer,software,17,288.01
2026-06-17,amer,software,12,160.01
2026-06-17,amer,support,34,106.09
2026-06-18,emea,services,21,707.0
2026-06-18,emea,hardware,12,361.77
2026-06-18,emea,software,18,828.63
2026-06-19,apac,training,24,302.24
2026-06-19,apac,services,37,397.99
2026-06-20,apac,software,17,518.94
2026-06-20,apac,software,37,402.82
2026-06-21,amer,services,7,428.87
2026-06-21,emea,support,32,604.57
2026-06-21,apac,software,4,302.21
2026-06-22,apac,hardware,16,277.53
2026-06-22,apac,software,39,400.15
2026-06-22,emea,software,21,469.58
2026-06-22,apac,support,35,463.6
2026-06-22,amer,services,21,383.36
2026-06-22,amer,hardware,27,214.73
2026-06-23,emea,services,37,887.56
2026-06-23,emea,software,33,24.47
2026-06-23,apac,services,21,258.1
2026-06-23,apac,training,5,802.03
2026-06-23,emea,training,6,703.84
2026-06-23,emea,support,11,759.08
2026-06-24,emea,services,22,558.35
2026-06-24,amer,hardware,26,220.7
2026-06-24,apac,support,36,250.41
2026-06-24,amer,services,11,806.17
2026-06-24,apac,hardware,15,660.49
2026-06-25,emea,software,39,786.7
2026-06-25,apac,hardware,29,369.88
2026-06-25,amer,support,31,220.99
2026-06-26,amer,services,33,315.11
2026-06-26,emea,support,16,502.87
2026-06-26,amer,support,29,539.21
2026-06-26,amer,support,2,665.78
2026-06-27,apac,services,11,853.49
2026-06-27,emea,services,2,230.73
2026-06-27,amer,training,21,339.51
2026-06-27,emea,hardware,37,493.35
2026-06-27,emea,support,7,267.3
2026-06-28,apac,training,6,461.92
2026-06-28,apac,hardware,23,387.77
2026-06-28,emea,services,10,781.99
2026-06-28,apac,software,36,337.72
2026-06-01,emea,support,32,535.82
2026-06-01,apac,support,26,624.57
2026-06-02,apac,services,30,635.43
2026-06-02,amer,hardware,33,382.8
2026-06-02,emea,software,38,228.54
2026-06-02,apac,services,5,178.98
2026-06-02,apac,support,34,683.48
2026-06-03,apac,services,14,15.57
2026-06-03,emea,support,29,87.94
2026-06-03,amer,services,28,835.42
2026-06-03,emea,support,8,313.47
2026-06-04,emea,software,40,702.21
2026-06-04,amer,support,13,498.76
2026-06-05,amer,training,20,806.37
2026-06-05,amer,support,21,528.74
2026-06-05,apac,services,37,480.84
2026-06-05,amer,software,24,720.66
2026-06-05,emea,services,18,654.91
2026-06-06,amer,services,30,784.88
2026-06-06,apac,hardware,6,780.2
2026-06-06,apac,training,29,659.78
2026-06-06,amer,support,29,323.62
2026-06-06,apac,services,3,667.53
2026-06-07,emea,hardware,6,51.38
2026-06-07,apac,services,29,476.07
2026-06-07,amer,services,1,687.53
2026-06-08,emea,services,38,560.09
2026-06-08,apac,support,25,213.87
2026-06-09,apac,services,13,571.64
2026-06-09,apac,software,13,452.31
2026-06-09,emea,software,5,828.41
2026-06-09,apac,training,20,588.3
2026-06-10,amer,training,8,379.82
2026-06-10,apac,training,19,217.79
2026-06-10,apac,hardware,17,75.31
2026-06-11,amer,training,2,669.62
2026-06-11,emea,training,4,731.42
2026-06-11,amer,training,31,815.15
2026-06-12,apac,hardware,39,284.62
2026-06-12,emea,support,18,562.72
2026-06-12,apac,services,16,608.66
2026-06-12,amer,services,34,634.64
2026-06-12,emea,training,17,497.2
2026-06-13,amer,training,6,725.93
2026-06-13,emea,services,21,302.15
2026-06-13,amer,services,26,535.7
2026-06-13,emea,services,24,253.94
2026-06-13,emea,support,30,108.09
2026-06-14,apac,support,16,337.43
2026-06-14,amer,hardware,37,573.17
2026-06-14,emea,services,13,475.99
2026-06-14,emea,hardware,34,773.25
2026-06-14,amer,support,33,354.49
2026-06-14,amer,hardware,39,58.14
2026-06-15,amer,support,32,758.5
2026-06-15,amer,support,23,330.41
2026-06-15,amer,support,26,75.52
2026-06-16,apac,software,14,349.29
2026-06-16,emea,hardware,24,647.47
2026-06-16,emea,hardware,22,290.13
2026-06-16,emea,support,30,176.75
2026-06-16,amer,services,36,327.68
2026-06-17,apac,support,39,365.63
2026-06-17,emea,training,17,671.43
2026-06-17,amer,training,32,625.01
2026-06-17,apac,hardware,5,397.53
2026-06-17,amer,hardware,7,109.03
2026-06-18,apac,services,38,249.17
2026-06-18,emea,support,7,872.0
2026-06-18,amer,training,35,668.11
2026-06-18,amer,support,19,640.0
2026-07-19,amer,hardware,1,786.5
2026-07-19,emea,training,24,817.58
2026-07-19,amer,training,38,142.86
2026-07-19,amer,services,24,816.63
